,precision,recall,f1-score,support
Backdoor_Malware,1.0,0.08536585365853659,0.15730337078651685,82.0
BenignTraffic,0.8729574069113314,0.9825500320355783,0.9245172615564659,26533.0
BrowserHijacking,0.9545454545454546,0.14893617021276595,0.2576687116564417,141.0
CommandInjection,0.8571428571428571,0.37209302325581395,0.518918918918919,129.0
DDoS-ACK_Fragmentation,0.9962389700564155,0.9929354094579008,0.9945844465304355,6936.0
DDoS-HTTP_Flood,0.9736456808199122,0.9693877551020408,0.9715120525931337,686.0
DDoS-ICMP_Flood,0.9998517682339325,0.9998289672472278,0.9998403676105881,175405.0
DDoS-ICMP_Fragmentation,0.9954557604918471,0.9982130092923517,0.9968324782511712,11192.0
DDoS-PSHACK_Flood,0.9998289841659457,0.9995273341646889,0.9996781364098128,99436.0
DDoS-RSTFINFlood,0.9998370356790011,0.9995010894577148,0.9996690343440515,98214.0
DDoS-SYN_Flood,0.9996646034698295,0.9996341240319532,0.9996493635185608,98394.0
DDoS-SlowLoris,0.8789808917197452,0.968421052631579,0.9215358931552587,570.0
DDoS-SynonymousIP_Flood,0.9996447561422809,0.999358452955126,0.9995015840461062,87289.0
DDoS-TCP_Flood,0.9999542894756088,0.9997714891594457,0.9998628809623928,109404.0
DDoS-UDP_Flood,0.9994970777167328,0.999695138216711,0.9995960981557689,131207.0
DDoS-UDP_Fragmentation,0.9936746101794646,0.9910504694835681,0.9923608050536213,6816.0
DNS_Spoofing,0.7995666305525461,0.6718252162039144,0.7301508780608458,4394.0
DictionaryBruteForce,0.9241379310344827,0.4407894736842105,0.5968819599109131,304.0
DoS-HTTP_Flood,0.9867892016082711,0.993637941006362,0.9902017291066282,1729.0
DoS-SYN_Flood,0.9994321984060998,0.9993308731092096,0.9993815331893623,49318.0
DoS-TCP_Flood,0.9997224962999507,0.9998149804187609,0.9997687362205331,64858.0
DoS-UDP_Flood,0.9995398639489622,0.9994528588127036,0.9994963594874058,80418.0
MITM-ArpSpoofing,0.9055236945366737,0.8031053406505153,0.8512449457331348,7471.0
Mirai-greeth_flood,0.9993704092339979,0.9989930351598557,0.999181686564972,23834.0
Mirai-greip_flood,0.9987986676131709,0.9985260399606944,0.9986623351805848,18318.0
Mirai-udpplain,0.999075700157131,0.9994914235517129,0.9992835186169597,21629.0
Recon-HostDiscovery,0.8205521472392638,0.8470550981633945,0.8335930196322842,3158.0
Recon-OSScan,0.8056844547563805,0.5865709459459459,0.6788856304985337,2368.0
Recon-PingSweep,0.2,0.016129032258064516,0.029850746268656716,62.0
Recon-PortScan,0.8424283765347885,0.6224798387096774,0.7159420289855073,1984.0
SqlInjection,0.9375,0.2222222222222222,0.35928143712574845,135.0
Uploading_Attack,0.0,0.0,0.0,23.0
VulnerabilityScan,0.9689507494646681,0.9762675296655879,0.9725953788285868,927.0
XSS,0.7391304347826086,0.16666666666666666,0.272,102.0
accuracy,0.9938745405684863,0.9938745405684863,0.9938745405684863,0.9938745405684863
macro avg,0.8955036206740987,0.7602537613691912,0.7870421566752912,1133466.0
weighted avg,0.9937844438831517,0.9938745405684863,0.9935001786733844,1133466.0
